WARSUBSIDIES_DI;Offer of Warsubsidies;Offre d'indemnités de guerre;Angebot von Kriegssubventionen;;Oferta de subsidios de guerra;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
CANCEL_WARSUBSIDIES_DI;Cancellation of Warsubsidies;Annulation des indemnités de guerre;Einstellung von Kriegssubventionen;;Cancelación de subsidios de guerra;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
ASKMILITARYACCESS_DI;Request for Military Access;Demande d'accès militaire;Anfrage nach Militärzugang;;Solicitud de acceso militar;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
CANCELASKMILITARYACCESS_DI;Cancellation of Military Access;Annulation d'un accès militaire;Einstellung von Militärzugang;;Cancelación de acceso militar;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
GIVEMILITARYACCESS_DI;Offer of Military Access;Offre d'accès militaire;Angebot von Militärzugang;;Oferta de acceso militar;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
CANCELGIVEMILITARYACCESS_DI;Cancellation of Military Access;Annulation d'un accès militaire;Einstellung von Militärzugang;;Cancelación de acceso militar;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
ALLIANCE_DI;Alliance Offer;Offre d'alliance;Bündnisangebot;;Oferta de alianza;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
CANCELALLIANCE_DI;Alliance Broken;Alliance rompue;Bündnis gebrochen;;Alianza disuelta;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
CALLALLY_DI;Call Ally;Appel à un allié;Bündnisparter zu Hilfe rufen;;Conseguir aliado;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
DISCREDIT_DI;Discredit;Discréditer;In Verruf bringen;;Desprestigio;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
EXPELADVISORS_DI;Expulsion of Advisors;Expulsion de conseillers;Ausweisung von Beratern;;Expulsión de consejeros;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
BANEMBASSY_DI;Banning of Embassy;Fermeture d'ambassade;Botschaftsverbannung;;Cierre de embajada;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
INCREASEOPINION_DI;Opinion Increase;Opinion en hausse;Meinungssteigerung;;Mejora de opinión;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
DECREASEOPINION_DI;Opinion Decrease;Opinion en baisse;Meinungsverringerung;;Merma de opinión;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,
